Free Agents  Season  CBS Average Projections Scoring Stats
Player,Opp,Bye,FG,FGB,FL,MFG,MXP,Pa2P,PaInt,PaTD,PaYd,Re2P,ReTD,ReYd,Recpt,Ru2P,RuTD,RuYd,XP,XPB,FPTS,
Rod Streater WR | OAK ,@NYJ,5,0,0,1.0,0,0,0,0,0,0,0,4.5,766.0,58.0,0,0,0,0,0,151.00
DeAndre Hopkins WR | HOU,WAS,10,0,0,0.5,0,0,0,0,0,0,0,4.5,747.0,59.0,0,0,0,0,0,151.00
Knowshon Moreno RB | MIA ,NE,5,0,0,1.0,0,0,0,0,0,0,0,1.5,288.0,36.0,0,4.5,675.0,0,0,151.00
Hakeem Nicks WR | IND,@DEN,10,0,0,0.5,0,0,0,0,0,0,0,5.5,763.0,49.5,0,0,0,0,0,149.50
Stevan Ridley RB | NE ,@MIA,10,0,0,2.0,0,0,0,0,0,0,0,0,49.5,7.5,0,8.0,994.5,0,0,145.50
Jordan Matthews WR | PHI ,JAC,7,0,0,0.5,0,0,0,0,0,0,0,5.0,758.5,48.5,0,0,0,0,0,145.50
Cecil Shorts WR | JAC ,@PHI,11,0,0,0,0,0,0,0,0,0,0,3.5,762.0,56.5,0,0,0,0,0,145.50
Terrance West RB | CLE ,@PIT,4,0,0,0,0,0,0,0,0,0,0,0.5,199.0,23.0,0,5.5,813.0,0,0,144.00
Lamar Miller RB | MIA ,NE,5,0,0,1.0,0,0,0,0,0,0,0,0.5,217.5,27.5,0,5.0,798.0,0,0,143.50
Ladarius Green TE | SD ,@ARI,10,0,0,0,0,0,0,0,0,0,0,5.5,703.0,47.5,0,0,0,0,0,142.50
Steven Jackson RB | ATL ,NO,9,0,0,1.0,0,0,0,0,0,0,0,1.0,179.5,28.5,0,5.5,722.0,0,0,141.50
Delanie Walker TE | TEN ,@KC,9,0,0,1.0,0,0,0,0,0,0,0,5.5,605.5,58.0,0,0,0,0,0,141.00
Steve Smith WR | BAL ,CIN,11,0,0,0,0,0,0,0,0,0,0,4.0,690.5,54.0,0,0,0,0,0,140.00
